state_id,fips,population
FL,12043,13811
FL,12045,13639
FL,12047,14428
FL,12049,26937
FL,12051,42022
FL,12053,193920
FL,12055,106221
FL,12057,1471968
FL,12059,19617
FL,12061,159923
FL,12063,46414
FL,12065,14246
FL,12067,8422
FL,12069,367118
FL,12071,770577
FL,12073,293582
FL,12075,41503
FL,12077,8354
FL,12079,18493
FL,12081,403253
FL,12083,365579
FL,12085,161000
FL,12086,2716940
FL,12087,74228
FL,12089,88625
FL,12091,210738
FL,12093,42168
FL,12095,1393452
FL,12097,375751
FL,12099,1496770
FL,12101,553947
FL,12103,974996
FL,12105,724777
FL,12107,74521
FL,12109,264672
FL,12111,328297
FL,12113,184313
FL,12115,433742
FL,12117,471826
FL,12119,132420
FL,12121,44417
FL,12123,21569
FL,12125,15237
FL,12127,553284
FL,12129,33739
FL,12131,74071
FL,12133,25473
GA,00013,10617423
GA,13001,18386
GA,13003,8165
GA,13005,11164
GA,13007,3038
GA,13009,44890
GA,13011,19234
GA,13013,83240
GA,13015,107738
GA,13017,16700
GA,13019,19397
GA,13021,153159
GA,13023,12873
GA,13025,19109
GA,13027,15457
GA,13029,39627
GA,13031,79608
GA,13033,22383
GA,13035,24936
GA,13037,6189
GA,13039,54666
GA,13043,10803
GA,13045,119992
GA,13047,67580
GA,13049,13392
GA,13051,289430
GA,13053,10907
GA,13055,24789
GA,13057,258773
GA,13059,128331
GA,13061,2834
GA,13063,292256
GA,13065,6618
GA,13067,760141
GA,13069,43273
GA,13071,45600
GA,13073,156714
GA,13075,17270
GA,13077,148509
GA,13079,12404
GA,13081,22372
GA,13083,16116
GA,13085,26108
GA,13087,26404
GA,13089,759297
GA,13091,20605
GA,13093,13390
GA,13095,87956
GA,13097,146343
GA,13099,10190
GA,13101,4006
GA,13103,64296
GA,13105,19194
GA,13107,22646
GA,13109,10654
GA,13111,26188
GA,13113,114421
GA,13115,98498
GA,13117,244252
GA,13119,23349
GA,13121,1063937
GA,13123,31369
GA,13125,2971
GA,13127,85292
GA,13129,57963
GA,13131,24633
GA,13133,18324
GA,13135,936250
GA,13137,45328
GA,13139,204441
GA,13141,8457
GA,13143,29792
GA,13145,35236
GA,13147,26205
GA,13149,11923
GA,13151,234561
GA,13153,157863
GA,13155,9416
GA,13157,72977
GA,13159,14219
GA,13161,15115
GA,13163,15362
GA,13165,8676
GA,13167,9643
GA,13169,28735
GA,13171,19077
GA,13173,10423
GA,13175,47546
GA,13177,29992
GA,13179,61435
GA,13181,7921
GA,13183,19559
GA,13185,117406
GA,13187,33610
GA,13189,21312
GA,13191,14378
GA,13193,12947
GA,13195,29880
GA,13197,8359
GA,13199,21167
GA,13201,5718
GA,13205,21863
GA,13207,27578
GA,13209,9172
GA,13211,19276
GA,13213,40096
GA,13215,195769
GA,13217,111744
GA,13219,40280
GA,13221,15259
GA,13223,168667
GA,13225,27546
GA,13227,32591
GA,13229,19465
GA,13231,18962
GA,13233,42613
GA,13235,11137
GA,13237,22119
GA,13239,2299
GA,13241,17137
GA,13243,6778
GA,13245,202518
GA,13247,90896
GA,13249,5257
GA,13251,13966
GA,13253,8090
GA,13255,66703
GA,13257,25925
GA,13259,6621
GA,13261,29524
GA,13263,6195
GA,13265,1537
GA,13267,25286
GA,13269,8020
GA,13271,15860
GA,13273,8531
GA,13275,44451
GA,13277,40644
GA,13279,26830
GA,13281,12037
GA,13283,6901
GA,13285,69922
GA,13287,7985
GA,13289,8120
GA,13291,24511
GA,13293,26320
GA,13295,69761
GA,13297,94593
GA,13299,35734
GA,13301,5254
GA,13303,20374
GA,13305,29927
GA,13307,2607
GA,13309,7855
GA,13311,30798
GA,13313,104628
GA,13315,8635
GA,13317,9777
GA,13319,8954
GA,13321,20247
HI,00015,1415872
HI,15001,201513
HI,15003,974563
HI,15005,86
HI,15007,72293
HI,15009,167417
ID,00016,1787065
ID,16001,481587
ID,16003,4294
ID,16005,87808
ID,16007,6125
ID,16009,9298
ID,16011,46811
ID,16013,23021
ID,16015,7831
ID,16017,45739
ID,16019,119062
ID,16021,12245
ID,16023,2597
ID,16025,1106
ID,16027,229849
ID,16029,7155
ID,16031,24030
ID,16033,845
ID,16035,8756
ID,16037,4315
ID,16039,27511
ID,16041,13876
ID,16043,13099
ID,16045,18112
ID,16047,15179
ID,16049,16667
ID,16051,29871
ID,16053,24412
ID,16055,165697
ID,16057,40108
ID,16059,8027
ID,16061,3838
ID,16063,5366
ID,16065,39907
ID,16067,21039
ID,16069,40408
ID,16071,4531
ID,16073,11823
ID,16075,23951
ID,16077,7681
ID,16079,12882
ID,16081,12142
ID,16083,86878
ID,16085,11392
ID,16087,10194
IL,00017,12671821
IL,17001,65435
IL,17003,5761
IL,17005,16426
IL,17007,53544
IL,17009,6578
IL,17011,32628
IL,17013,4739
IL,17015,14305
IL,17017,12147
IL,17019,209689
IL,17021,32304
IL,17023,15441
IL,17025,13184
IL,17027,37562
IL,17029,50621
IL,17031,5150233
IL,17033,18667
IL,17035,10766
IL,17037,104897
IL,17039,15638
IL,17041,19465
IL,17043,922921
IL,17045,17161
IL,17047,6395
IL,17049,34008
IL,17051,21336
IL,17053,12961
IL,17055,38469
IL,17057,34340
IL,17059,4828
IL,17061,12969
IL,17063,51054
IL,17065,8116
IL,17067,17708
IL,17069,3821
IL,17071,6646
IL,17073,48913
IL,17075,27114
IL,17077,56750
IL,17079,9610
IL,17081,37684
IL,17083,21773
IL,17085,21235
IL,17087,12417
IL,17089,532403
IL,17091,109862
IL,17093,128990
IL,17095,49699
IL,17097,696535
IL,17099,108669
IL,17101,15678
IL,17103,34096
IL,17105,35648
IL,17107,28618
IL,17109,29682
IL,17111,307774
IL,17113,171517
IL,17115,104009
IL,17117,44926
IL,17119,262966
IL,17121,37205
IL,17123,11438
IL,17125,13359
IL,17127,13772
IL,17129,12196
IL,17131,15437
IL,17133,34637
IL,17135,28414
IL,17137,33658
IL,17139,14501
IL,17141,50643
IL,17143,179179
IL,17145,20916
IL,17147,16344
IL,17149,15561
IL,17151,4177
IL,17153,5335
IL,17155,5739
IL,17157,31782
IL,17159,15513
IL,17161,141879
IL,17163,259686
IL,17165,23491
IL,17167,194672
IL,17169,6768
IL,17171,4951
IL,17173,21634
IL,17175,5342
IL,17177,44498
IL,17179,131803
IL,17181,16653
IL,17183,75758
IL,17185,11520
IL,17187,16844
IL,17189,13887
IL,17191,16215
IL,17193,13537
IL,17195,55175
IL,17197,690743
IL,17199,66597
IL,17201,282572
IL,17203,38459
IN,00018,6732219
IN,18001,35777
IN,18003,379299
IN,18005,83779
IN,18007,8748
IN,18009,11758
IN,18011,67843
IN,18013,15092
IN,18015,20257
IN,18017,37689
IN,18019,118302
IN,18021,26225
IN,18023,32399
IN,18025,10577
IN,18027,33351
IN,18029,49458
IN,18031,26559
IN,18033,43475
IN,18035,114135
IN,18037,42736
IN,18039,206341
IN,18041,23102
IN,18043,78522
IN,18045,16346
IN,18047,22758
IN,18049,19974
IN,18051,33659
IN,18053,65769
IN,18055,31922
IN,18057,338011
IN,18059,78168
IN,18061,40515
IN,18063,170311
IN,18065,47972
IN,18067,82544
IN,18069,36520
IN,18071,44231
IN,18073,33562
IN,18075,20436
IN,18077,32308
IN,18079,27735
IN,18081,158167
IN,18083,36594
IN,18085,79456
IN,18087,39614
IN,18089,485493
